opened_at,closed_at,symbol,side,avg_entry,exit_price,quantity,tranches,gross_pnl,commission,net_pnl,exit_reason
2026-02-05T15:55:00.0000000+00:00,2026-02-05T16:15:00.0000000+00:00,SPY_iex,Short,674.275,676.27,39,1,-77.805,0,-77.805,"Stop-loss hit"
2026-02-09T15:20:00.0000000+00:00,2026-02-09T15:25:00.0000000+00:00,SPY_iex,Long,690.725,689.86,92,1,-79.580,0,-79.580,"Stop-loss hit"
2026-02-11T15:00:00.0000000+00:00,2026-02-11T15:35:00.0000000+00:00,SPY_iex,Short,690.18863636363636363636363636,689.4525,110,3,80.9750,0,80.9750,"Stop-loss hit"
2026-02-13T15:35:00.0000000+00:00,2026-02-13T15:40:00.0000000+00:00,SPY_iex,Long,682.585,680.95,48,1,-78.480,0,-78.480,"Stop-loss hit"
2026-02-18T15:05:00.0000000+00:00,2026-02-18T18:50:00.0000000+00:00,SPY_iex,Long,685.685,684.19,52,1,-77.740,0,-77.740,"Stop-loss hit"
2026-02-19T15:20:00.0000000+00:00,2026-02-19T15:25:00.0000000+00:00,SPY_iex,Long,683.405,682.22,65,1,-77.025,0,-77.025,"Stop-loss hit"
2026-02-20T15:40:00.0000000+00:00,2026-02-20T17:15:00.0000000+00:00,SPY_iex,Long,685.525,683.78,43,1,-75.035,0,-75.035,"Stop-loss hit"
2026-02-26T15:15:00.0000000+00:00,2026-02-26T15:35:00.0000000+00:00,SPY_iex,Short,685.43451612903225806451612903,684.50387096774193548387096774,62,2,57.70000000000000000000000012,0,57.70000000000000000000000012,"Stop-loss hit"
2026-03-02T15:05:00.0000000+00:00,2026-03-02T17:25:00.0000000+00:00,SPY_iex,Long,683.53875,684.744375,48,2,57.870000,0,57.870000,"Stop-loss hit"
2026-03-04T15:25:00.0000000+00:00,2026-03-04T15:45:00.0000000+00:00,SPY_iex,Long,683.685,682.40,59,1,-75.815,0,-75.815,"Stop-loss hit"
2026-03-06T16:00:00.0000000+00:00,2026-03-06T16:20:00.0000000+00:00,SPY_iex,Long,673.475,671.63,41,1,-75.645,0,-75.645,"Stop-loss hit"
2026-03-09T14:10:00.0000000+00:00,2026-03-09T14:35:00.0000000+00:00,SPY_iex,Short,661.095,664.12,24,1,-72.600,0,-72.600,"Stop-loss hit"
2026-03-12T14:20:00.0000000+00:00,2026-03-12T16:20:00.0000000+00:00,SPY_iex,Short,667.705,669.34,45,1,-73.575,0,-73.575,"Stop-loss hit"
2026-03-17T14:45:00.0000000+00:00,2026-03-17T15:05:00.0000000+00:00,SPY_iex,Long,671.495,670.42,69,1,-74.175,0,-74.175,"Stop-loss hit"
2026-03-19T14:00:00.0000000+00:00,2026-03-19T14:15:00.0000000+00:00,SPY_iex,Long,657.095,655.91,61,1,-72.285,0,-72.285,"Stop-loss hit"
2026-03-23T14:20:00.0000000+00:00,2026-03-23T14:40:00.0000000+00:00,SPY_iex,Long,661.155,660.13,71,1,-72.775,0,-72.775,"Stop-loss hit"
2026-03-24T14:35:00.0000000+00:00,2026-03-24T14:50:00.0000000+00:00,SPY_iex,Long,653.405,652.38,70,1,-71.750,0,-71.750,"Stop-loss hit"
2026-03-31T13:55:00.0000000+00:00,2026-03-31T14:05:00.0000000+00:00,SPY_iex,Long,642.475,641.26,58,1,-70.470,0,-70.470,"Stop-loss hit"
2026-04-02T14:00:00.0000000+00:00,2026-04-02T16:05:00.0000000+00:00,SPY_iex,Long,652.31954545454545454545454545,653.06068181818181818181818182,99,3,73.37250000000000000000000018,0,73.37250000000000000000000018,"Stop-loss hit"
2026-04-06T14:10:00.0000000+00:00,2026-04-06T14:35:00.0000000+00:00,SPY_iex,Long,657.63323529411764705882352941,658.1538725490196078431372549,102,2,53.1049999999999999999999998,0,53.1049999999999999999999998,"Stop-loss hit"
2026-04-07T14:00:00.0000000+00:00,2026-04-07T15:10:00.0000000+00:00,SPY_iex,Short,653.21552631578947368421052632,652.27986842105263157894736842,57,2,53.33250000000000000000000006,0,53.33250000000000000000000006,"Stop-loss hit"
2026-04-13T14:00:00.0000000+00:00,2026-04-13T16:40:00.0000000+00:00,SPY_iex,Long,680.32162921348314606741573034,680.92727528089887640449438202,89,2,53.90249999999999999999999978,0,53.90249999999999999999999978,"Stop-loss hit"
2026-04-16T14:20:00.0000000+00:00,2026-04-16T14:45:00.0000000+00:00,SPY_iex,Short,698.935,699.83,81,1,-72.495,0,-72.495,"Stop-loss hit"
2026-04-17T14:00:00.0000000+00:00,2026-04-17T15:15:00.0000000+00:00,SPY_iex,Long,709.625625,710.00427083333333333333333333,192,3,72.69999999999999999999999936,0,72.69999999999999999999999936,"Stop-loss hit"
